Use Case,Material,Institution,Target pH,Till,Equation,Formula Rate (ton / A),ECCE/NI,Rate (T/A),Rate (lbs/A),,,
Correction,Aglime,UW,5.6,No-Till,(51 - (5.4 * BpH) - (2.67 * WpH)) * 0.5,-0.33,-0.311773256,-0.31,-624,,,
Correction,Aglime,UW,5.8,No-Till,(57.2 - (5.55 * BpH) - (3.5 * WpH)) * 0.5,-0.215,-0.203125,-0.20,-406,,,
Correction,Aglime,UW,6.0,No-Till,(72.7 - (7.59 * BpH) - (3.78 * WpH)) * 0.5,-0.037,-0.034956395,-0.03,-70,,,
Correction,Aglime,UW,6.3,No-Till,(103 - (12.6 * BpH) - (3.18 * WpH)) * 0.5,0.38,0.359011628,0.36,718,,,
Correction,Aglime,UW,6.5,No-Till,(134 - (17.2 * BpH) - (2.73 * WpH)) * 0.5,2.05,1.936773256,1.94,3874,,,
Correction,Aglime,UW,6.6,No-Till,(152 - (20.3 * BpH) - (2.17 * WpH)) * 0.5,2.5,2.361918605,2.36,4724,,,
Correction,Aglime,UW,6.8,No-Till,(195 - (28.4 * BpH) + (0.144 * WpH)) * 0.5,4.212,3.979360465,3.98,7959,,,
Correction,98G,UW,5.2,Conventional,(36.1 - (3.29 * BpH) - (2.67 * WpH)) * 2000 * 0.18,-0.29412,,-0.29,-588,,,
Correction,98G,UW,5.4,Conventional,(48.2 - (4.84 * BpH) - (3.03 * WpH)) * 2000 * 0.18,-0.34632,,-0.35,-693,,,
Correction,98G,UW,5.6,Conventional,(51 - (5.4 * BpH) - (2.67 * WpH)) * 2000 * 0.18,-0.1188,,-0.12,-238,,,
Correction,98G,UW,5.8,Conventional,(57.2 - (5.55 * BpH) - (3.5 * WpH)) * 2000 * 0.18,-0.0774,,-0.08,-155,,,
Correction,98G,UW,6.0,Conventional,(72.7 - (7.59 * BpH) - (3.78 * WpH)) * 2000 * 0.18,-0.01332,,-0.01,-27,,,
Correction,98G,UW,6.3,Conventional,(103 - (12.6 * BpH) - (3.18 * WpH)) * 2000 * 0.18,0.1368,,0.14,274,,,
Correction,98G,UW,6.5,Conventional,(134 - (17.2 * BpH) - (2.73 * WpH)) * 2000 * 0.18,0.738,,0.74,1476,,,
Correction,98G,UW,6.6,Conventional,(152 - (20.3 * BpH) - (2.17 * WpH)) * 2000 * 0.18,0.9,,0.90,1800,,,
Correction,98G,UW,6.8,Conventional,(195 - (28.4 * BpH) + (0.144 * WpH)) * 2000 * 0.18,1.51632,,1.52,3033,,,
Correction,98G,UW,5.2,No-Till,(36.1 - (3.29 * BpH) - (2.67 * WpH)) * 2000 * 0.1,-0.1634,,-0.16,-327,,,
Correction,98G,UW,5.4,No-Till,(48.2 - (4.84 * BpH) - (3.03 * WpH)) * 2000 * 0.1,-0.1924,,-0.19,-385,,,
Correction,98G,UW,5.6,No-Till,(51 - (5.4 * BpH) - (2.67 * WpH)) * 2000 * 0.1,-0.066,,-0.07,-132,,,
Correction,98G,UW,5.8,No-Till,(57.2 - (5.55 * BpH) - (3.5 * WpH)) * 2000 * 0.1,-0.043,,-0.04,-86,,,
Correction,98G,UW,6.0,No-Till,(72.7 - (7.59 * BpH) - (3.78 * WpH)) * 2000 * 0.1,-0.0074,,-0.01,-15,,,
Correction,98G,UW,6.3,No-Till,(103 - (12.6 * BpH) - (3.18 * WpH)) * 2000 * 0.1,0.076,,0.08,152,,,
Correction,98G,UW,6.5,No-Till,(134 - (17.2 * BpH) - (2.73 * WpH)) * 2000 * 0.1,0.41,,0.41,820,,,
Correction,98G,UW,6.6,No-Till,(152 - (20.3 * BpH) - (2.17 * WpH)) * 2000 * 0.1,0.5,,0.50,1000,,,
Correction,98G,UW,6.8,No-Till,(195 - (28.4 * BpH) + (0.144 * WpH)) * 2000 * 0.1,0.8424,,0.84,1685,,,
Maintenance,98G,UW,,,,,,0.13,250,,,
